report_month,project_code,project_name,sector,ministry,state,agency,approval_date,original_completion_target,revised_completion_target,anticipated_completion_target,original_cost,revised_cost,anticipated_cost,cumulative_expenditure,physical_progress_pct,schedule_status,delay_reasons_reported,reported_cost_overrun_pct,reported_time_overrun_months,latest_cost,latest_completion_target,cost_overrun_pct,expenditure_over_original_pct,time_overrun_months,cost_overrun_flag,project_age_months,planned_duration_months,elapsed_fraction,event,actual_completion_date,delay_reason_categories,source_report,source_detail,source_url,report_kind
2024-04,020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, MWE)",ATOMIC ENERGY,Department of Atomic Energy,Tamil Nadu,BHAVNI,2003-09,2010-09,,2024-12,3492.0,,7670.0,6517.22,,delayed_orig,,119.64,171.0,7670.0,2024-12,119.64490263459335,86.63287514318444,171.0,1.0,247.0,84.0,2.9404761904761907,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, April 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_April_2024.pdf,flash_census
2024-05,020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, MWE)",ATOMIC ENERGY,Department of Atomic Energy,Tamil Nadu,BHAVNI,2003-09,2010-09,,2024-12,3492.0,,7670.0,6517.22,,delayed_orig,,119.64,171.0,7670.0,2024-12,119.64490263459335,86.63287514318444,171.0,1.0,248.0,84.0,2.9523809523809526,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, May 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_May_2024.pdf,flash_census
2024-06,020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,Department of Atomic Energy,Tamil Nadu,BHAVNI,2003-09,2010-09,,2025-03,3492.0,,7670.0,6921.72,97.9,ongoing_census,,,,7670.0,2025-03,119.64490263459335,98.21649484536084,174.0,1.0,249.0,84.0,2.9642857142857144,ongoing_report,,,"Quarterly Project Implementation Status Report, Q1 2024-25 (Apr-Jun 2024)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_1st_QTR_2024-25.pdf,qpisr_census
2024-08,020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",ATOMIC ENERGY,Department of Atomic Energy,Tamil Nadu,N.A.) (N.A.,2003-09,,,2025-03,3492.0,,7670.0,6921.72,98.0,ongoing_census,,,,7670.0,2025-03,119.64490263459335,98.21649484536084,,1.0,251.0,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, August 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_August_2024.pdf,qpisr_census
2024-09,020100044,FAST BREEDER REACTOR 9/2003 500 MWE),ATOMIC ENERGY,Department of Atomic Energy,Tamil Nadu,N.A.) (N.A.,2003-09,,,2025-03,3492.0,,7670.0,6921.72,98.0,ongoing_census,,,,7670.0,2025-03,119.64490263459335,98.21649484536084,,1.0,252.0,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, September 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_September_2024.pdf,qpisr_census
2024-04,060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,Ministry of Coal,Chhattisgarh,SECL,2010-06,2023-03,,2025-03,11816.4,,11816.4,6316.79,,delayed_orig,,0.0,24.0,11816.4,2025-03,0.0,-46.542178666937474,24.0,0.0,166.0,153.0,1.0849673202614378,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, April 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_April_2024.pdf,flash_census
2024-05,060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,Ministry of Coal,Chhattisgarh,SECL,2010-06,2023-03,,2025-03,11816.4,,11816.4,6068.83,,delayed_orig,,0.0,24.0,11816.4,2025-03,0.0,-48.6406181239633,24.0,0.0,167.0,153.0,1.091503267973856,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, May 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_May_2024.pdf,flash_census
2024-06,060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,Ministry of Coal,Chhattisgarh,SECL,2010-06,2023-03,,2025-03,11816.4,,11816.4,6120.38,76.0,ongoing_census,,,,11816.4,2025-03,0.0,-48.204360041975555,24.0,0.0,168.0,153.0,1.0980392156862746,ongoing_report,,,"Quarterly Project Implementation Status Report, Q1 2024-25 (Apr-Jun 2024)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_1st_QTR_2024-25.pdf,qpisr_census
2024-08,060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,Ministry of Coal,Chhattisg Arh,N.A.) (N.A.,2010-06,,,2025-03,11816.4,,11816.4,6086.17,77.0,ongoing_census,,,,11816.4,2025-03,0.0,-48.49387292237907,,0.0,170.0,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, August 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_August_2024.pdf,qpisr_census
2024-09,060100093,EXPANSION OCP (SECL) (35-70) 6/2010,COAL,Ministry of Coal,Chhattisg Arh,N.A.) (N.A.,2010-06,,,2025-03,11816.4,,11816.4,6152.08,77.0,ongoing_census,,,,11816.4,2025-03,0.0,-47.936088825699876,,0.0,171.0,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, September 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_September_2024.pdf,qpisr_census
2025-03,060100093,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,COAL,Ministry of Coal,Chhattisgarh,SECL,,2023-03,2026-03,2026-03,11816.4,,11816.4,6547.79,77.2,ongoing_census,,,,11816.4,2026-03,0.0,-44.58726854202634,36.0,0.0,,,,ongoing_report,,,"Quarterly Project Implementation Status Report, Q4 2024-25 (Jan-Mar 2025)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_4th_QTR_2024-25.pdf,qpisr_census
2024-04,180100210,PARBATI HEP (4X200 MW) (NHPC) II,POWER,Ministry of Power,Himachal Pradesh,NHPC,2002-09,2009-09,,2024-12,3919.59,,12160.0,11200.14,,delayed_orig,,210.24,183.0,12160.0,2024-12,210.23652984113133,185.7477440242474,183.0,1.0,259.0,84.0,3.0833333333333335,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, April 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_April_2024.pdf,flash_census
2024-05,180100210,PARBATI HEP (4X200 MW) (NHPC) II,POWER,Ministry of Power,Himachal Pradesh,NHPC,2002-09,2009-09,,2024-12,3919.59,,12160.0,11278.29,,delayed_orig,,210.24,183.0,12160.0,2024-12,210.23652984113133,187.74157501167215,183.0,1.0,260.0,84.0,3.0952380952380953,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, May 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_May_2024.pdf,flash_census
2024-06,180100210,PARBATI HEP (4X200 MW) (NHPC) II,POWER,Ministry of Power,Himachal Pradesh,N.A.) (N.A.,2002-09,2009-09,,2024-12,3919.59,,12160.0,11477.17,97.58,ongoing_census,,,,12160.0,2024-12,210.23652984113133,192.8155750984159,183.0,1.0,261.0,84.0,3.107142857142857,ongoing_report,,,"Quarterly Project Implementation Status Report, Q1 2024-25 (Apr-Jun 2024)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_1st_QTR_2024-25.pdf,qpisr_census
2024-08,180100210,PARBATI HEP (4X200 MW) (NHPC) II,POWER,Ministry of Power,Himachal Pradesh,N.A.) (N.A.,,,,2024-12,3919.59,,12160.0,11795.93,97.86,ongoing_census,,,,12160.0,2024-12,210.23652984113133,200.94805834283687,,1.0,,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, August 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_August_2024.pdf,qpisr_census
2024-09,180100210,HEP (4X200 MW) (NHPC) II 9/2002,POWER,Ministry of Power,Himachal Pradesh,NHPC) (N.A.) (N.A.,,,,,3919.59,,,11879.05,97.91,ongoing_census,,,,3919.59,,0.0,203.0686883066851,,0.0,,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, September 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_September_2024.pdf,qpisr_census
2025-03,180100210,PARBATI HEP (4X200 MW) (NHPC) II (NHPC),POWER,Ministry of Power,Himachal Pradesh,N.A.) (N.A.,,,,2025-04,3919.59,,12899.0,12827.69,99.23,ongoing_census,,,,12899.0,2025-04,229.09054263328562,227.27121969389654,,1.0,,,,ongoing_report,,,"Quarterly Project Implementation Status Report, Q4 2024-25 (Jan-Mar 2025)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_4th_QTR_2024-25.pdf,qpisr_census
2024-04,180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),POWER,Ministry of Power,Arunachal Pradesh,NHPC,2003-09,2010-09,,2026-05,6285.33,,21247.54,21078.73,,delayed_orig,,238.05,188.0,21247.54,2026-05,238.0497125847012,235.36393474964717,188.0,1.0,247.0,84.0,2.9404761904761907,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, April 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_April_2024.pdf,flash_census
2024-05,180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),POWER,Ministry of Power,Arunachal Pradesh,NHPC,2003-09,2010-09,,2026-05,6285.33,,21247.54,21272.82,,delayed_orig,,238.05,188.0,21247.54,2026-05,238.0497125847012,238.4519189923202,188.0,1.0,248.0,84.0,2.9523809523809526,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, May 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_May_2024.pdf,flash_census
2024-06,180100221,SUBANSIRI LOWER H.E.P (8X250 MW),POWER,Ministry of Power,Arunachal Pradesh,NHPC) (N.A.,2003-09,2010-09,,2026-05,6285.33,,21247.54,21448.42,93.2,ongoing_census,,,,21247.54,2026-05,238.0497125847012,241.24572615916745,188.0,1.0,249.0,84.0,2.9642857142857144,ongoing_report,,,"Quarterly Project Implementation Status Report, Q1 2024-25 (Apr-Jun 2024)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_1st_QTR_2024-25.pdf,qpisr_census
2024-08,180100221,SUBANSIRI LOWER H.E.P (8X250 MW),POWER,Ministry of Power,Arunacha L Pradesh,NHPC) (N.A.) (N.A.,2003-09,,,2026-05,6285.33,,21247.54,21833.13,93.72,ongoing_census,,,,21247.54,2026-05,238.0497125847012,247.36648672384746,,1.0,251.0,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, August 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_August_2024.pdf,qpisr_census
2024-09,180100221,LOWER H.E.P (8X250 MW) 9/2003,POWER,Ministry of Power,Arunachal Pradesh,NHPC) (N.A.) (N.A.,2003-09,,,2026-05,6285.33,,21247.54,22026.82,93.88,ongoing_census,,,,21247.54,2026-05,238.0497125847012,250.44810694108347,,1.0,252.0,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, September 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_September_2024.pdf,qpisr_census
2025-03,180100221,SUBANSIRI LOWER H.E.P (8X250 MW),POWER,Ministry of Power,Arunachal Pradesh,NHPC) (N.A.) (N.A.,2003-09,2010-09,,2026-05,6285.33,,26075.54,23753.28,96.1,ongoing_census,,,,26075.54,2026-05,314.86349960940794,277.91619533103267,188.0,1.0,258.0,84.0,3.0714285714285716,ongoing_report,,,"Quarterly Project Implementation Status Report, Q4 2024-25 (Jan-Mar 2025)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_4th_QTR_2024-25.pdf,qpisr_census
2024-04,180100242,BARH STPP(3X660MW) NTPC,POWER,Ministry of Power,Bihar,NTPC,2005-02,2011-10,2023-07,2024-11,8692.97,21312.11,21312.11,22311.28,,delayed_orig,"Bakhtiyarpur ROR line: Acquisition of 12.241 Acres supplementary land is under process. Land award has been done. Payment to landowner is done for 7.66 acres, balance in progress. However, few Raiyats are unwilling to accept the compensation as the award has been issued based on reduced circle rate. State Govt support required to Railways for acquisition / possession of said Land. Support of Minis",145.16,157.0,21312.11,2024-11,145.16488610912037,156.65888643352042,157.0,1.0,230.0,80.0,2.875,ongoing_report,,Funding / budget constraints,"Flash Report on Central Sector Infrastructure Projects, April 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_April_2024.pdf,flash_census
2024-05,180100242,BARH STPP(3X660MW) NTPC,POWER,Ministry of Power,Bihar,NTPC,2005-02,2011-10,2023-07,2024-11,8692.97,21312.11,21312.11,22311.28,,delayed_orig,,145.16,157.0,21312.11,2024-11,145.16488610912037,156.65888643352042,157.0,1.0,231.0,80.0,2.8875,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, May 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_May_2024.pdf,flash_census
2024-06,180100242,BARH STPP(3X660MW) NTPC,POWER,Ministry of Power,Bihar,NTPC,2005-02,2011-10,2023-07,2024-11,8692.97,21312.11,21312.11,22311.28,90.0,ongoing_census,,,,21312.11,2024-11,145.16488610912037,156.65888643352042,157.0,1.0,232.0,80.0,2.9,ongoing_report,,,"Quarterly Project Implementation Status Report, Q1 2024-25 (Apr-Jun 2024)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_1st_QTR_2024-25.pdf,qpisr_census
2024-08,180100242,BARH STPP(3X660MW) NTPC,POWER,Ministry of Power,Bihar,NTPC,2005-02,,2023-07,2024-11,8692.97,21312.11,21312.11,22311.28,90.0,ongoing_census,,,,21312.11,2024-11,145.16488610912037,156.65888643352042,,1.0,234.0,,,ongoing_report,,,"Flash Report on Central Sector Infrastructure Projects, August 2024",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_August_2024.pdf,qpisr_census
2025-03,180100242,BARH STPP(3X660MW) NTPC,POWER,Ministry of Power,Bihar,NTPC,2005-02,,2023-07,2025-03,8692.97,21312.11,21312.11,22199.16,95.0,ongoing_census,,,,21312.11,2025-03,145.16488610912037,155.36910860154816,,1.0,241.0,,,ongoing_report,,,"Quarterly Project Implementation Status Report, Q4 2024-25 (Jan-Mar 2025)",Table 7 (census of ongoing projects),https://www.mospi.gov.in/sites/default/files/publication_reports/QPISR_4th_QTR_2024-25.pdf,qpisr_census
2024-04,220100133,"UDHAMPUR-SRINAGAR- BARAMULLA (NL),NR",RAILWAYS,Ministry of Railways,Jammu and With State Govt),NR,1995-03,2002-11,2024-08,2024-08,2500.0,37012.26,41159.0,39331.0,,delayed_orig,"1. Law & Order issues (close liaison is maintained with State Govt) 2. Due to ban on mining of minor aggregates in UT of J&K wef Nov’ 2019, the works of tunnel and bridges were adversely affected till July 2021 resulting in accumulation of arrears of around 35 Kms.Private E- Auctions for open mining by the J&K UT government in July 21.",1546.36,261.0,41159.0,2024-08,1546.36,1473.24,261.0,1.0,349.0,92.0,3.7934782608695654,ongoing_report,,Other reported reasons,"Flash Report on Central Sector Infrastructure Projects, April 2024","Annexure VII (delayed, w.r.t. original schedule)",https://www.mospi.gov.in/sites/default/files/publication_reports/FlashReport_April_2024.pdf,flash_census
