project_code,project_name,sector,approval_date,original_cost,original_doc,anticipated_cost,anticipated_doc,expenditure,event,report_month
,1 NORTH TISRA EXPANSION,COAL,2014-02,555.52,2021-03,555.52,2021-03,291.95,completed,2024-04
,2 JAYANT EXPANSION,COAL,2017-05,10.0,2021-03,20.0,2023-10,1390.64,completed,2024-04
,"3 RESIDENTIAL HAL,BANGLORE",DEFENCE PRODUCTION,2016-12,246.31,2020-02,195.0,2023-03,185.84,completed,2024-04
,4 CITY GAS DISTRIBUTION NETWORK BHUBANESHWAR,PETROLEUM,2017-07,243.53,2022-07,243.53,2024-03,217.42,completed,2024-04
,"5 CITY GAS DISTRIBUTION NETWORK, CUTTACK",PETROLEUM,2017-07,182.2,2022-07,182.2,2024-03,144.55,completed,2024-04
,6 KOCHI SALEM,PETROLEUM,2015-12,1112.0,2019-06,1507.24,2025-02,1157.07,completed,2024-04
,7 CITY GAS DISTRIBUTION NETWORK PATNA,PETROLEUM,2017-10,359.25,2022-10,359.25,2024-03,293.6,completed,2024-04
,"8 CITY GAS DISTRIBUTION NETWORK, RANCHI",PETROLEUM,2017-10,226.45,2022-10,226.45,2024-03,257.39,completed,2024-04
,9 SUSTAINED GANDHAR FIELDS COMPRESSOR,PETROLEUM,2018-09,225.54,2021-02,247.9,2024-04,240.53,completed,2024-04
,10 HPOIL GAS PVT Joint Venture,PETROLEUM,2018-02,307.0,2025-03,307.0,2025-03,14.23,completed,2024-04
,11 HPOIL GAS PVT Joint Venture,PETROLEUM,2018-03,334.0,2025-05,334.0,2025-05,0.93,completed,2024-04
,12 CITY GAS DISTRIBUTION PROJECT AT,PETROLEUM,2019-04,332.38,2028-09,332.38,2028-09,99.49,completed,2024-04
,"13 CITY GAS DISTRIBUTION,",PETROLEUM,2017-10,221.45,2022-10,221.45,2025-03,237.03,completed,2024-04
,14 CITY GAS DISTRIBUTION,PETROLEUM,2019-03,3450.2,2029-03,3450.2,2029-03,1962.02,completed,2024-04
