project_code,agency,state,sector,schedule_status,approval_date,original_cost,revised_cost,anticipated_cost,expenditure,original_doc,revised_doc,anticipated_doc,time_overrun_months,cost_overrun_pct,delay_reasons,project_name
N04000108,,,CIVIL AVIATION,ahead_orig,2023-06,320.47,,320.47,4.1,2026-02,,2026-01,,,,HUBBALI AIRPORT CONSTRUCTION TERMINAL BUILDING AND MISCELLANEOUS
N06000113,,,COAL,ahead_orig,2021-02,5194.96,,3756.36,3385.29,2029-03,,2026-03,,,,SIARMAL OCP (40.00MTY)
N44000002,,,COAL,ahead_orig,2020-08,314.06,,303.55,121.42,2025-01,,2024-12,,,,CONSTRUCTION OF SIKKIM UNIVERSITY PACKAGE -II AT YANGANG SOUTH SIKKIM
N18000372,,,POWER,ahead_orig,2023-06,202.39,,202.39,,2025-01,,2024-12,,,,TRANSMISSION SYSTEM FOR EVACUATION RAJASTHAN REZ PHASE-IV PART-I
N22000511,,,RAILWAYS,ahead_orig,2022-08,955.0,,955.39,56.34,2027-08,,2027-03,,,,PACHORA-JAMNER WITH EXTENSION
N22000515,,,RAILWAYS,ahead_orig,2023-02,836.12,,836.12,5.28,2027-03,,2026-03,,,,KALYAN-MURBAD VIA ULHASNAGAR
N22000513,,,RAILWAYS,ahead_orig,2019-01,904.92,,904.92,954.11,2028-03,,2027-03,,,,SOLAPUR-TULJAPUR-OSMANABAD
N22000615,,,RAILWAYS,ahead_orig,1999-02,736.44,,736.44,518.52,2027-03,,2026-03,,,,BARAMATI LONAND
N22000523,,,RAILWAYS,ahead_orig,2019-06,983.62,253.23,415.0,331.16,2025-06,,2024-06,,,,DARBHANGA BYPASS LINE CONNECTING KAKARGHATI EXCL DARBHANGA YARD
N22000526,,,RAILWAYS,ahead_orig,2019-02,496.47,,496.47,2.07,2028-06,,2027-03,,,,JHAJHA BATIA (UMBRELLA WORK
N22000524,,,RAILWAYS,ahead_orig,2022-07,486.0,,486.0,54.87,2027-07,,2025-06,,,,BARAUNI- BACHWARA 3RD AND 4TH
N22000528,223.69,,RAILWAYS,ahead_orig,2022-10,234.0,223.69,223.69,6.82,2027-10,,2025-06,,,,SONENAGAR BYE PASS LINE FROM BISHUNPUR
N22000565,,,RAILWAYS,ahead_orig,2019-08,371.77,,1319.75,363.37,2029-03,,2027-12,,,,SAHJANWA DOHRIGHAT
N22000569,,,RAILWAYS,ahead_orig,2018-10,1600.0,,4939.78,726.83,2030-10,,2027-03,,,,BAHRAICH SRAVASTI BALRAMPUR
N22000592,,,RAILWAYS,ahead_orig,2022-07,1695.82,,2798.16,590.63,2030-07,,2026-12,,,,TARANGA HILL ABU ROAD VIA AMBAJI
N22000605,,,RAILWAYS,ahead_orig,2023-02,422.6,,422.6,51.12,2028-02,,2026-01,,,,DOUBLING BETWEEN CHURU-RATANGARH
N22000594,,,RAILWAYS,ahead_orig,2021-11,466.42,,466.42,439.02,2026-11,,2024-12,,,,DEDICATED TEST TRACK FOR RDSO
N22000604,,,RAILWAYS,ahead_orig,2023-02,471.06,,471.06,14.38,2028-02,,2026-02,,,,DOUBLING BETWEEN BHIWANI-DOBH
N22000606,,,RAILWAYS,ahead_orig,2023-02,352.41,,352.41,6.07,2027-06,,2025-06,,,,DOUBLING BETWEEN REWARI-KATHUWAS
N22000608,,,RAILWAYS,ahead_orig,2023-01,968.92,,968.92,110.81,2028-06,,2027-01,,,,GC OF NATHDWARA DEVGARH MADARIYA
N22000607,239.54,,RAILWAYS,ahead_orig,2022-12,304.0,239.54,239.54,57.86,2026-06,,2025-12,,,,SAWAIMADHOPUR BYPASS LINE (6.98 PB#57/2019-20/NR)
N22000273,,,RAILWAYS,ahead_orig,2008-04,2966.99,,6753.42,5190.99,2026-12,,2025-03,,,,BHANUPALI-BILASPUR BERI NL
N22000595,,,RAILWAYS,ahead_orig,2015-12,1116.0,,3270.07,2875.04,2025-03,,2024-06,,,,KHARAGPUR-ADITYAPUR 3RD LINE
N22000571,,,RAILWAYS,ahead_orig,2022-09,209.75,,244.99,18.18,2026-09,,2026-03,,,,ROURKELA-BONDAMUNDA A-CABIN WORK PB#57/2019-20/NR)
N22000555,307.66,,RAILWAYS,ahead_orig,2019-04,294.67,307.66,307.66,97.36,2026-03,,2025-02,,,,"PENUKONDA-DHARMAVARAM, EXCL."
N22000558,748.85,,RAILWAYS,ahead_orig,2019-06,663.03,748.85,748.85,,2028-04,,2027-12,,,,HASSAN (ALUR) BELUR (32 KM) (UMBRELLA 19/NR)
N22000538,307.12,,RAILWAYS,ahead_orig,2022-05,202.5,307.12,307.12,31.3,2030-05,,2025-12,,,,PETLAD-BHADRAN (22.5 KM)
N22000540,670.17,,RAILWAYS,ahead_orig,2023-02,401.48,670.17,670.17,67.94,2030-03,,2025-10,,,,SAMLAYA-TIMBA ROAD (53.53 KM)
N22000539,461.91,,RAILWAYS,ahead_orig,2022-05,335.34,461.91,461.91,31.79,2030-06,,2025-12,,,,NADIAD-PETLAD (37.26 KM)
N24001940,,,ROAD TRANSPORT AND HIGHWAYS,ahead_orig,2023-01,166.58,,166.58,,2026-01,,2024-05,,,,WIDENING TO LANE WITH PAVED KM 103.200 (EXISTING KM 103.200) TO DESIGN KM 11
N24001390,08/2024,,ROAD TRANSPORT AND HIGHWAYS,ahead_orig,2020-08,228.71,,228.71,95.36,2022-04,2024-08,2024-07,,,,JORAM – KOLORIANG ROAD FROM 70.00 (PKG-3)
N24001651,,,ROAD TRANSPORT AND HIGHWAYS,ahead_orig,2021-09,2878.97,,2878.97,46.57,2024-09,2026-03,2024-09,,,,SIX LANING OF THURAVOOR (DESIGN PARAVOOR (DESIGN KM.417+000) SECTION
N24001757,,,ROAD TRANSPORT AND HIGHWAYS,ahead_orig,2020-01,876.37,,876.37,353.57,2024-10,,2024-06,,,,4L OF KHEDAKHAJURIYA TO SUHAGADI 89.200 OF NH-148NG (PKG-II)
N24001758,,,ROAD TRANSPORT AND HIGHWAYS,ahead_orig,2020-01,823.05,,823.05,337.6,2024-10,,2024-06,,,,4L OF SUHAGADI TO BARDIYA AMRA 135.351 OF NH-752D (PKG-III)
N24001790,12/2024,,ROAD TRANSPORT AND HIGHWAYS,ahead_orig,2020-02,752.3,,766.2,451.11,2023-08,2024-12,2024-06,,,,SANCHORE SANTALPUR FROM KM (AJ-RGBS-PACKAGE-3)
N24001794,12/2024,,ROAD TRANSPORT AND HIGHWAYS,ahead_orig,2020-02,778.15,,785.67,511.14,2023-03,2024-12,2024-06,,,,SANCHORE SANTALPUR FROM KM 754K (AJ-RGBS-PACKAGE-4)
N02000029,,,ATOMIC ENERGY,onsched_orig,2017-06,49621.0,,49621.0,15934.0,2027-09,,2027-09,,,,KUDANKULAM NUCLEAR POWER
N04000106,,,CIVIL AVIATION,onsched_orig,2023-03,265.91,,265.91,3.11,2026-01,,2026-01,,,,KADAPPA AIRPORT- CONSTRUCTION TERMINAL BUILDING AND MISCELLANEOUS INCLUDING MA
N04000099,,,CIVIL AVIATION,onsched_orig,2022-06,1305.0,,1143.95,162.39,2025-12,,2025-12,,,,"DEVELOPMENT OF NEW GREENFIELD DHOLERA, AHMEDABAD (GUJARAT)."
N04000104,,,CIVIL AVIATION,onsched_orig,2023-06,887.0,,887.0,47.31,2026-03,,2026-03,,,,UDAIPUR AIRPORT- CONSTRUCTION PASSENGER TERMINAL BUILDING
N04000107,,,CIVIL AVIATION,onsched_orig,2022-07,861.37,,861.37,17.44,2026-06,,2026-06,,,,JAMMU CONSTRUCTION OF NEW
N04000101,,,CIVIL AVIATION,onsched_orig,2022-05,480.0,,480.0,76.6,2024-11,,2024-11,,,,CONSTRUCTION OF NEW TERMINAL AIRPORT
N04000102,,,CIVIL AVIATION,onsched_orig,2023-05,185.75,,232.52,28.26,2024-11,,2024-11,,,,"PRAYAGRAJ AIRPORT CONSTRUCTION BUILDING, SECOND LINK TAXI"
N04000105,,,CIVIL AVIATION,onsched_orig,2023-06,322.45,,322.45,17.82,2026-02,,2026-02,,,,BELAGAVI AIRPORT- EXPANSION AND ASSOCIATED WORKS
N04000111,,,CIVIL AVIATION,onsched_orig,2023-06,323.98,,323.98,,2025-09,,2025-09,,,,CALICUT AIRPORT DEVELOPMENT ON EITHER END ON RUNWAY 10-28
N04000109,,,CIVIL AVIATION,onsched_orig,2023-04,328.3,,328.3,22.35,2025-10,,2025-10,,,,"NSCBI AIRPORT KOLKATA: RE-CONSTRUCTION POSITIONS OF SECONDARY RUNWAY,"
N04000103,,,CIVIL AVIATION,onsched_orig,2022-12,347.15,,347.15,27.93,2025-08,,2025-08,,,,RAJAHMUNDRY AIRPORT: CONSTRUCTION DOMESTIC TERMINAL BUILDING WORKS INCLUD
N04000110,,,CIVIL AVIATION,onsched_orig,2023-11,323.26,,323.26,6.01,2026-06,,2026-06,,,,PAKYONG AIRPORT- WIDENING SIDE OF RUNWAY CHAINAGE 80M
N06000216,,,COAL,onsched_orig,2020-08,7254.37,,7254.37,1100.19,2028-03,,2028-03,,,,REVISED PROJECT REPORT MAGADH
N06000246,,,COAL,onsched_orig,2022-01,908.47,,908.47,145.14,2026-03,,2026-03,,,,EXPANSION OF KARO OCP
N06000217,,,COAL,onsched_orig,2020-08,5136.15,,5136.15,671.43,2028-03,,2028-03,,,,EXPANSION PROJECT AMRAPALI
N06000239,,,COAL,onsched_orig,2020-05,222.82,,222.82,139.31,2025-03,,2025-03,,,,SIRKA OCP
N06000240,,,COAL,onsched_orig,2020-08,764.57,,764.57,145.8,2031-03,,2031-03,,,,JHARKHAND LAIYO OCP
N06000245,,,COAL,onsched_orig,2022-01,799.34,,799.34,349.47,2032-03,,2032-03,,,,EXPANSION OF KONAR OCP
N06000247,,,COAL,onsched_orig,2021-05,2898.28,,2898.28,175.01,2028-03,,2028-03,,,,EXPANSION OF ASHOK OCP
N06000243,,,COAL,onsched_orig,2021-01,1020.42,,1020.42,82.92,2028-03,,2028-03,,,,EPR ROHINI KARKATA OCP
N06000242,,,COAL,onsched_orig,2020-11,713.35,,713.35,236.57,2027-03,,2027-03,,,,EPR PUNDI OCP
N06000218,,,COAL,onsched_orig,2021-07,778.8,,778.8,671.23,2026-03,,2026-03,,,,UCE OF EPR OF NORTH URIMARI
N06000241,,,COAL,onsched_orig,2020-11,230.41,,230.41,18.14,2025-03,,2025-03,,,,EPR TAPIN SOUTH OCP
N06000237,,,COAL,onsched_orig,2020-08,861.06,,625.4,362.06,2032-03,,2032-03,,,,KOTRE BASANTPUR PACHMO OCP
N06000238,,,COAL,onsched_orig,2020-08,973.5,,973.5,7.95,2032-03,,2032-03,,,,CHANDRAGUPT OCP
N06000223,,,COAL,onsched_orig,2020-04,1210.12,,1210.12,371.21,2029-03,,2029-03,,,,EXPANSION PR OF JHANJRA UG
N06000165,,,COAL,onsched_orig,2018-05,535.18,,535.17,3.91,2026-03,,2026-03,,,,SIDULI MINE (OC AND UG)
N06000220,5,,COAL,onsched_orig,2021-07,5365.88,5366.0,5365.88,470.08,2029-03,,2029-03,,,,SONEPUR BAZARI EXPANSION
N06000170,,,COAL,onsched_orig,2018-08,502.68,,502.67,56.46,2029-03,,2029-03,,,,NAKRAKONDA KUMARDIH B OCP
N06000227,,,COAL,onsched_orig,2024-03,6321.73,,3145.45,1209.27,2031-03,,2031-03,,,,BHUBANESWARI EXPANSION OCP
N06000249,03/2029,,COAL,onsched_orig,2021-05,1693.81,,1693.81,1129.52,2029-03,2029-03,2029-03,,,,SUBHADRA OCP
N06000229,,,COAL,onsched_orig,2022-04,6107.87,,8416.19,1566.44,2028-03,,2028-03,,,,GOPALJI-KANIHA OCP
N06000167,,,COAL,onsched_orig,2018-05,2434.75,,2434.75,1767.1,2027-03,,2027-03,,,,INTEGRATED LAKHANPUR-BELPAHAR-LILARI
N06000230,,,COAL,onsched_orig,2020-08,3504.21,,3504.21,894.77,2029-03,,2029-03,,,,BALARAM EXPANSION OCP
N06000171,,,COAL,onsched_orig,2018-11,2838.87,,2838.87,1562.29,2029-03,,2029-03,,,,REORGANISATION OF BHARATPUR
N06000261,,,COAL,onsched_orig,2022-12,2264.68,,2264.68,997.96,2029-03,,2029-03,,,,RPR OF HINGULA -II EXPANSION
N06000193,,,COAL,onsched_orig,2013-07,2242.92,,2242.9,168.84,2028-09,,2028-09,,,,PACHWARA SOUTH COAL BLOCK
N06000189,,,COAL,onsched_orig,2017-07,2401.07,,2401.07,1258.77,2027-01,,2027-01,,,,TALABIRA II AND III OCP
N06000269,,,COAL,onsched_orig,2023-03,1813.0,,1813.0,298.62,2024-09,,2024-09,,,,NLCIL MW SOLAR POWER CPSU SCHEME)
N06000270,,,COAL,onsched_orig,2024-01,27213.0,,27213.0,954.95,2029-05,,2029-05,,,,NLC TALABIRA THERMAL POWER MW)
N06000196,,,COAL,onsched_orig,2020-11,1729.68,,1729.68,596.1,2025-03,,2025-03,,,,NIGAHI EXPANSION OCP (15 TO
N06000259,,,COAL,onsched_orig,2021-12,297.88,,297.88,45.15,2025-03,,2025-03,,,,JAWAHAR KHANI OPENCAST (JK
N06000258,,,COAL,onsched_orig,2021-07,345.6,,345.6,50.25,2026-03,,2026-03,,,,GOLETI OPENCAST MINE
N06000158,,,COAL,onsched_orig,2017-05,976.95,,976.95,90.89,2026-03,,2026-03,,,,VIJAY WEST OPENCAST PROJECT
N06000233,,,COAL,onsched_orig,2019-07,1248.93,,1248.93,415.92,2026-03,,2026-03,,,,RAMPUR BATURA OC (4.0 MTY)
N06000197,,,COAL,onsched_orig,2020-08,2309.8,,2309.8,815.2,2029-03,,2029-03,,,,BAROUD OC EXPANSION (3-10
N06000200,,,COAL,onsched_orig,2020-12,5241.4,,5241.4,2607.21,2029-03,,2029-03,,,,DIPKA OC EXPANSION MTY
N06000164,,,COAL,onsched_orig,2018-05,410.26,,410.26,178.39,2026-03,,2026-03,,,,MAHAMAYA OPENCAST PROJECT
N06000199,,,COAL,onsched_orig,2020-12,2310.12,,2310.12,71.99,2029-03,,2029-03,,,,PORDA CHIMTAPANI OCP (10 MTY)
N06000205,,,COAL,onsched_orig,2021-03,241.72,,241.72,58.79,2028-03,,2028-03,,,,GHONSA EXPANSION DEEP OC
N06000251,,,COAL,onsched_orig,2022-01,253.51,,253.51,103.5,2028-03,,2028-03,,,,SAONER UG MINE I EXPANSION
N06000206,,,COAL,onsched_orig,2020-08,371.59,,371.59,104.34,2026-03,,2026-03,,,,SASTI EXPANSION OC
N06000183,,,COAL,onsched_orig,2019-08,414.16,,414.16,24.98,2026-03,,2026-03,,,,GANDHIGRAM UG MINE
N06000264,,,COAL,onsched_orig,2021-04,456.95,,456.95,147.9,2026-03,,2026-03,,,,GOKUL EXPANSION OC
N06000263,,,COAL,onsched_orig,2023-03,464.45,,464.45,178.76,2027-03,,2027-03,,,,RPR PAUNI II EXPANSION OC
N06000253,,,COAL,onsched_orig,2022-06,497.06,,497.06,144.2,2026-03,,2026-03,,,,MAKARDHOKDA I EXPANSION OC
N06000265,,,COAL,onsched_orig,2022-07,228.42,,228.42,23.96,2031-03,,2031-03,,,,URDHAN OC
N06000222,,,COAL,onsched_orig,2020-02,1184.33,,1184.33,846.03,2027-03,,2027-03,,,,DINESH (MAKARDHOKDA-III) OC
N06000250,,,COAL,onsched_orig,2021-12,324.25,,324.25,12.31,2027-03,,2027-03,,,,TAWA III UG MINE
N06000209,,,COAL,onsched_orig,2019-02,720.87,,720.87,179.54,2028-03,,2028-03,,,,DHUPTALA OC(SASTI UG TO OC)
N06000231,,,COAL,onsched_orig,2020-11,826.8,,826.8,462.32,2026-03,,2026-03,,,,MUNGOLI NIRGUDA EXTENSION
N06000260,,,COAL,onsched_orig,2022-11,227.65,,227.65,7.02,2029-03,,2029-03,,,,VISHNUPURI UG TO OC
N06000266,,,COAL,onsched_orig,2022-07,200.16,,200.16,34.27,2028-03,,2028-03,,,,SHARDA UG
N06000256,,,COAL,onsched_orig,2022-09,494.6,,494.6,98.36,2028-03,,2028-03,,,,BHANEGAON OC (1.15MTY)
N06000254,,,COAL,onsched_orig,2020-02,729.86,,729.86,158.97,2028-03,,2028-03,,,,BHATADI EXPANSION OC
N06000255,,,COAL,onsched_orig,2019-05,496.38,,496.38,143.72,2027-03,,2027-03,,,,NEW MAJARI UG TO OC (3.0 MTY)
N06000268,,,COAL,onsched_orig,2023-03,497.23,,497.23,40.5,2031-03,,2031-03,,,,RPR GAURI PAUNI EXPANSION
N06000252,,,COAL,onsched_orig,2022-05,421.84,,421.84,115.89,2029-03,,2029-03,,,,SINGHORI DEEP OC
N06000257,,,COAL,onsched_orig,2022-09,497.01,,497.01,157.83,2027-03,,2027-03,,,,AMALGAMATED DHANKASA JAMUNIA
N06000267,,,COAL,onsched_orig,2023-01,206.19,,206.19,7.75,2027-03,,2027-03,,,,KOLGAON EXPANSION (DEEP)
N06000132,,,COAL,onsched_orig,2015-08,727.28,,727.28,531.54,2025-03,,2025-03,,,,AMALGAMATED YEKONA-I YEKONA-II
N40000001,03/2027,,COAL,onsched_orig,2011-09,20084.0,,20084.0,9718.22,2027-03,2027-03,2027-03,,,,NATIONAL INDUSTRIAL CORRIDOR
N16000508,,,PETROLEUM,onsched_orig,2023-03,621.87,,621.87,35.5,2026-03,,2026-03,,,,REPLACEMENT AND EXTENSION KOCHI REFINERY
N16000507,,,PETROLEUM,onsched_orig,2023-03,405.0,,405.0,19.48,2025-07,,2025-07,,,,INSTALLATION OF INDEPENDENT SOLVENTS PRODUCTION FACILITIES
