project_code,project_name,sector,state,agency,original_cost,original_doc,expenditure,event,completion_month,report_month
N16000401,DEVANGONTHI MARKETING TERMINAL,,Karnataka,MANGALORE REFIN,200.0,,255.87,completed,2024-09,2024-09
N18000300,TRANSMISSION SYSTEM STRENGTHENING,POWER,Rajasthan,PGCIL,1184.88,,846.92,completed,2024-09,2024-09
N18000305,TRANSMISSION SYSTEM STRENGTHENING,POWER,Rajasthan,PGCIL,713.82,,671.59,completed,2024-09,2024-09
N24001690,"CHALLAKERE TO HARIYUR SECTION FROM KM 1,167.52 1/1/2023 946.42",ROAD TRANSPORT AND HIGHWAYS,Karnataka,NHAI,358.5,,414.205,completed,2024-09,2024-09
N24001763,L OF HARDA - BETUL (PKG-I) FROM KM.0 TO KM.30,ROAD TRANSPORT AND HIGHWAYS,Madhya Pradesh,NHAI,774.16,,463.85,completed,2024-09,2024-09
N24001764,L OF HARDA - BETUL (PKG-III) FROM KM. 81.00 TO,ROAD TRANSPORT AND HIGHWAYS,Madhya Pradesh,NHAI,814.04,,468.94,completed,2024-09,2024-09
N24001918,UPGRADATION OF NH 930 JHALMALA TO SHERPER 222.86 8/1/2023 168.98 FROM NH KM,ROAD TRANSPORT AND HIGHWAYS,Chhattisgarh,MoRTH,30.6,,67.8,completed,2024-09,2024-09
N24001212,CONSTRUCTION OF EIGHT LANE ACCESS,ROAD TRANSPORT AND HIGHWAYS,Madhya Pradesh,NHAI,656.98,,1058.34,completed,2024-09,2024-09
N24001214,CONSTRUCTION OF EIGHT LANE ACCESS,ROAD TRANSPORT AND HIGHWAYS,Madhya Pradesh,NHAI,217.96,,2298.0,completed,2024-09,2024-09
N24001218,REHABILITATION AND UPGRADATION OF NH 111 335.32 6/1/2017 345.52 FROM KM,ROAD TRANSPORT AND HIGHWAYS,Chhattisgarh,MoRTH,163.4,,215.8,completed,2024-09,2024-09
N24001219,REHABILITATION AND UPGRADATION OF NH 200 476.20 9/1/2016 502.91 FROM KM,ROAD TRANSPORT AND HIGHWAYS,Chhattisgarh,MoRTH,178.944,,241.553,completed,2024-09,2024-09
N24001283,CONSTRUCTION OF TWO LANE WITH PAVED,ROAD TRANSPORT AND HIGHWAYS,Mizoram,NHIDCL,281.78,,237.91,completed,2024-09,2024-09
N24001351,MARIAM - PEREN PKG-2B,ROAD TRANSPORT AND HIGHWAYS,Manipur,NHIDCL,232.26,,156.93,completed,2024-09,2024-09
