project_code,project_name,sector,state,agency,approval_date,original_cost,revised_cost,anticipated_cost,expenditure,original_doc,revised_doc,anticipated_doc,physical_progress_pct,schedule_status,report_month
N04000073,"OF NEW INTEGRATED 10/2013 BUILDING AT VSI AIRPORT,",CIVIL AVIATION,Andaman And Nicobar Islands,May-23) (707.73,2013-10,417.23,707.73,707.73,698.8,,2023-05,2023-06,100.0,ongoing_census,2024-09
N22000584,KILA RAIPUR (19 KMS) WITH 3/2019 LINE AT GILL STATION ON LDH- SECTION,RAILWAYS,Andaman And Nicobar Islands,NR,,235.72,,235.72,0.0,,,2025-03,0.0,ongoing_census,2024-09
N24000744,OF MAJOR BRIDGE 3/2015 MIDDLE STRAIT CREEK BETWEEN 106.590 TO KM. 107.762 OF NH 223 (,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,,2015-03,262.97,,262.97,92.73,,,2026-02,41.55,ongoing_census,2024-09
N24000745,"LANE WITH HARD SHOLDER , 3/2017 AND UP GRADATION SECTION FROM KM 242.0 TO KM OF N",ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,NHIDCL,2017-03,409.85,,409.85,214.23,,2023-03,2024-07,89.07,ongoing_census,2024-09
N24000748,AND UP GRADATION 2/2018 SECTION FROM KM 107.760 TO KM (AFTER MIDDLE STRAIT TO HUM,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,NHIDCL,2018-02,391.0,,391.0,170.37,,2023-01,2025-08,57.55,ongoing_census,2024-09
N24000749,AND UP GRADATION 3/2018 SECTION FROM KM 206.00 TO KM (NIMBUTALA TO AUSTIN CREEK),ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,NHIDCL,2018-03,234.27,,234.27,126.5,,2022-11,2024-09,76.86,ongoing_census,2024-09
N24000820,and up gradation to 2 lane with 11/2017 shoulder configuration from existing 122.00,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,MoRTH,,237.8,,238.0,222.13,,,2019-11,97.46,ongoing_census,2024-09
N24000821,WITH GEOMETRIC 11/2017 OF EXISTING 2 LANE TO 2LANE PAVED S,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,MoRTH,2017-11,257.34,,238.0,214.9,,,2019-11,100.0,ongoing_census,2024-09
N24001008,TO BULDHANA 2/2017,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,MoRTH,2017-02,401.0,401.0,,260.08,,,,97.0,ongoing_census,2024-09
N04000089,AND STR. OF EXISTING RUNWAY 8/2017 AT TIRUPATI AIRPORT,CIVIL AVIATION,Andhra Pradesh,AAI,2017-08,177.1,,177.1,143.08,,2021-12,2024-01,100.0,ongoing_census,2024-09
N04000091,OF NITB AND ASSOCIATED WORK 4/2020 VIJAYAWADA AIRPORT,CIVIL AVIATION,Andhra Pradesh,AAI,,611.8,,611.8,330.74,,,2025-06,56.0,ongoing_census,2024-09
N04000103,AIRPORT: 12/2022 OF NEW DOMESTIC BUILDING AND WORKS INCLUD,CIVIL AVIATION,Andhra Pradesh,N.A.) (N.A.,2022-12,347.15,,347.15,41.88,,,2025-08,26.0,ongoing_census,2024-09
N04000106,AIRPORT- CONSTRUCTION OF 3/2023 DOMESTIC TERMINAL BUILDING MISCELLANEOUS WORKS MA,CIVIL AVIATION,Andhra Pradesh,AAI,,265.91,,265.91,22.98,,,2026-01,15.0,ongoing_census,2024-09
N42000005,OF PERMANENT 2/2019 FOR INDIAN INSTITUTE OF TIRUPATI AT MERLAPAKA YE,DEPARTMEN T OF HIGHER EDUCATION,Andhra Pradesh,N.A.) (N.A.,2019-02,655.34,,655.34,366.21,,,2020-06,95.0,ongoing_census,2024-09
N42000007,"OF PERMANENT 9/2019 FOR IISER AT JANGALAPALLI YERPEDU MANDAL, CHITTOOR",DEPARTMEN T OF HIGHER EDUCATION,Andhra Pradesh,CPWD EDUCATION,2019-09,588.72,656.39,656.39,666.18,,,2024-06,100.0,ongoing_census,2024-09
